NOMBRE,ZONA,DIRECCION,COMUNA,CIUDAD,EMPRESA_ID
Canalad 2,Puerto Cisnes,Puerto Cisnes,Puerto Cisnes,Cisnes,3
Canalad 3,Puerto Cisnes,Puerto Cisnes,Puerto Cisnes,Cisnes,3
Canalad 5,Puerto Cisnes,Puerto Cisnes,Puerto Cisnes,Cisnes,3
Costa,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,6
Humos 2,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,6
Traiguén,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,6
Humos 3,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,6
Humos 5,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,6
Humos 6,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,6
Melchor 4,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,6
Moraleda,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,6
Caicura,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Chivato 1,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Chivato 2,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Concheo 2,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Dring 3,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Dring 1,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Elena NW,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Ester,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Forsyth,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Level,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Midhurst,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Ninualac 1,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Ninualac 2,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Orestes,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Punta Rouse,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Se Forsyth,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Tangbac,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Team Baños 1,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Team Depto Baños 2,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Victoria,Puerto Montt,Muelle Oxxean,Puerto Montt,Chinquihue,7
Yoye,Chiloe,Cermaq Chile S.A,Puerto Montt,Puerto Montt,8
Compu,Chiloe,Cermaq Chile S.A,Puerto Montt,Puerto Montt,8
Canalad SW,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,1
Cascada,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,1
Isla Suarez,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,1
Pangal 1,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,1
Pangal 2,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,1
Pangal 3,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,1
Punta Porvenir,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,1
Canal Perez Norte,Melinka,Melinka,Guaitecas,Melinka,1
Canal Temuan,Melinka,Melinka,Guaitecas,Melinka,1
Carabelas,Melinka,Melinka,Guaitecas,Melinka,1
Temuan,Melinka,Melinka,Guaitecas,Melinka,1
Valverde 6,Melinka,Melinka,Guaitecas,Melinka,1
Lagreze Norte,Melinka,Melinka,Guaitecas,Melinka,1
Base Pacifico,Melinka,Melinka,Guaitecas,Melinka,1
Jesus 7,Puerto Aysen,Puerto Cisnes,Cisnes,Puerto Cisnes,1
Jesus 9,Puerto Aysen,Puerto Cisnes,Cisnes,Puerto Cisnes,1
Acuario,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Angostura,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Canalad 1,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Canalad 6,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Casa Pesca,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Estero Soto,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Graffer,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Harry 2,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Isla Ester,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Melimoyu,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Piscicultura Magdalena,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Punta Ganso,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Puyuhuapi,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
San Andrés,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Seno Vera,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Villegas,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Bodega Cisnes,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Catalina,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Esperanza,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Estero Nieto,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Marta,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Bodega Cisnes,Puerto Cisnes,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Caceres,Melinka,Melinka,Guaitecas,Melinka,2
Chaffer,Melinka,Melinka,Guaitecas,Melinka,2
Concoto,Melinka,Melinka,Guaitecas,Melinka,2
Cuptana 4,Melinka,Melinka,Guaitecas,Melinka,2
Elena,Melinka,Melinka,Guaitecas,Melinka,2
Garrao 2,Melinka,Melinka,Guaitecas,Melinka,2
Isla May,Melinka,Melinka,Guaitecas,Melinka,2
Luna 2,Melinka,Melinka,Guaitecas,Melinka,2
Navarro,Melinka,Melinka,Guaitecas,Melinka,2
Quetros 1,Melinka,Melinka,Guaitecas,Melinka,2
Serrano,Melinka,Melinka,Guaitecas,Melinka,2
Sierra,Melinka,Melinka,Guaitecas,Melinka,2
Valverde 1,Melinka,Melinka,Guaitecas,Melinka,2
Valverde 2,Melinka,Melinka,Guaitecas,Melinka,2
Valverde 3,Melinka,Melinka,Guaitecas,Melinka,2
Valverde 4,Melinka,Melinka,Guaitecas,Melinka,2
Valverde 5,Melinka,Melinka,Guaitecas,Melinka,2
Verdugo 1,Melinka,Melinka,Guaitecas,Melinka,2
Verdugo 2,Melinka,Melinka,Guaitecas,Melinka,2
Verdugo 3,Melinka,Melinka,Guaitecas,Melinka,2
Cuptana 9,Melinka,Melinka,Guaitecas,Melinka,2
Tahuenahuec,Melinka,Melinka,Guaitecas,Melinka,2
Base Melinka,Melinka,Melinka,Guaitecas,Melinka,2
Francisco Norte,Melinka,Melinka,Guaitecas,Melinka,2
Garrao Sur,Melinka,Melinka,Guaitecas,Melinka,2
Tangbac,Puerto Aysen,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Auchile,Puerto Aysen,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Cuptana 2,Puerto Aysen,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Jesus 1,Puerto Aysen,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Jesus 2,Puerto Aysen,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Ninualac,Puerto Aysen,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Teresa 1,Puerto Aysen,Puerto Cisnes,Cisnes,Puerto Cisnes,2
Piscicultura Hornopiren,Hornopiren,"Camino a Lago Cabrera s/n, hornopiren.",Hornopiren,Hornopiren,5
Canal Luchin,Puerto Cisnes,Cisnes,Puerto Cisnes,Puerto Cisnes,4
